Sample5;;Sample5;;Sample5;;Sample5;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
;;;;;;;
;;;;;;;
521.04095;-0.01141;521.04095;-0.01165;521.04095;-0.01152;521.04095;-0.01143
519.98614;-0.01126;519.98614;-0.01175;519.98614;-0.01137;519.98614;-0.01154
518.93115;-0.01155;518.93115;-0.01167;518.93115;-0.01156;518.93115;-0.01171
518.02667;-0.01131;518.02667;-0.01153;518.02667;-0.01132;518.02667;-0.01146
516.97119;-0.01142;516.97119;-0.01165;516.97119;-0.01148;516.97119;-0.01153
516.06628;-0.01146;516.06628;-0.01161;516.06628;-0.0114;516.06628;-0.01147
515.01038;-0.01174;515.01038;-0.01182;515.01038;-0.01152;515.01038;-0.01172
513.95422;-0.01168;513.95422;-0.01144;513.95422;-0.01142;513.95422;-0.0115
513.04877;-0.01179;513.04877;-0.01153;513.04877;-0.01131;513.04877;-0.01156
511.99213;-0.01142;511.99213;-0.01124;511.99213;-0.01128;511.99213;-0.01153
510.93527;-0.01144;510.93527;-0.01136;510.93527;-0.01146;510.93527;-0.01164
510.02917;-0.01147;510.02917;-0.0115;510.02917;-0.0114;510.02917;-0.01155
508.97189;-0.0112;508.97189;-0.01145;508.97189;-0.01148;508.97189;-0.01173
508.06543;-0.01096;508.06543;-0.01113;508.06543;-0.01124;508.06543;-0.01148
507.00766;-0.01077;507.00766;-0.01136;507.00766;-0.01124;507.00766;-0.01143
505.94968;-0.01072;505.94968;-0.01155;505.94968;-0.01139;505.94968;-0.01168
505.04263;-0.01058;505.04263;-0.01154;505.04263;-0.01139;505.04263;-0.01143
503.98419;-0.01053;503.98419;-0.01171;503.98419;-0.01138;503.98419;-0.01161
502.92554;-0.01024;502.92554;-0.01173;502.92554;-0.01144;502.92554;-0.01157
502.01791;-0.01022;502.01791;-0.01199;502.01791;-0.01152;502.01791;-0.01165
500.9588;-0.00967;500.9588;-0.01171;500.9588;-0.01132;500.9588;-0.01147
500.05078;-0.00989;500.05078;-0.01191;500.05078;-0.01155;500.05078;-0.01159
498.99124;-0.00939;498.99124;-0.01178;498.99124;-0.01128;498.99124;-0.01146
497.93143;-0.00926;497.93143;-0.01201;497.93143;-0.0114;497.93143;-0.01135
497.02286;-0.00919;497.02286;-0.01208;497.02286;-0.01144;497.02286;-0.01139
495.96265;-0.00916;495.96265;-0.01195;495.96265;-0.01143;495.96265;-0.01139
495.05368;-0.00919;495.05368;-0.01185;495.05368;-0.01124;495.05368;-0.01124
